3.0,0.0,0.0,1.0,0.0,2.0,1.0,2.4
1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.9
2.0,0.0,0.0,0.0,0.0,2.0,0.0,3.5
0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.16
0.0,1.0,0.0,0.0,3.0,1.0,1.0,3.95
0.0,1.0,1.0,0.0,3.0,1.0,0.0,3.04
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.98
2.0,1.0,1.0,1.0,0.0,0.0,1.0,3.4
0.0,0.0,1.0,0.0,2.0,1.0,0.0,2.8
1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.5
1.0,0.0,2.0,1.0,2.0,2.0,0.0,3.1
0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.6
1.0,0.0,2.0,0.0,0.0,3.0,1.0,3.4
0.0,0.0,2.0,1.0,0.0,2.0,0.0,2.0
1.0,0.0,0.0,0.0,2.0,0.0,1.0,3.2
0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.2
2.0,0.0,1.0,1.0,0.0,4.0,1.0,2.1
2.0,0.0,1.0,1.0,2.0,0.0,1.0,3.0
0.0,1.0,1.0,0.0,1.0,1.0,0.0,3.2
0.0,1.0,0.0,0.0,3.0,0.0,0.0,3.6
1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.95
2.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0
2.0,0.0,0.0,0.0,2.0,2.0,0.0,3.1
2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.6
2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
0.0,1.0,0.0,1.0,3.0,1.0,0.0,3.5
0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.8
2.0,0.0,2.0,0.0,0.0,2.0,0.0,3.3
0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0
2.0,1.0,1.0,0.0,0.0,3.0,1.0,3.5
2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
2.0,1.0,1.0,0.0,0.0,1.0,1.0,3.7
1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.62
0.0,1.0,0.0,1.0,3.0,2.0,0.0,3.0
3.0,0.0,1.0,0.0,0.0,2.0,0.0,3.63
1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.8
2.0,1.0,0.0,0.0,2.0,0.0,1.0,3.78
0.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0
1.0,0.0,2.0,1.0,0.0,1.0,0.0,3.1
